[Mon May 04 15:34:47 CEST 2026][INFO] 209: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 210: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 211: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 212: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 213: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 214: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 215: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 216: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 217: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 218: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 219: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 220: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 221: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 222: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 223: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 224: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 225: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 226: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 227: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 228: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 229: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 230: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 231: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 232: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 233: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 234: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 235: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 236: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 237: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 238: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 239: Breite: 1366, Höhe: 768 (Fenster.java:206)
